iteration: 17300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17400, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17600, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17800, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18100, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18200, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18500, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18600, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18800, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18900, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19100, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19200, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19400, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19600, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19800, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20100, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20200, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20300, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20400, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
